,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,       DATABASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Region,Project Name,Status,Available For,Project Size,Priority,Approved,Frozen,Project Type,Category,Project lead(s),House,Start Date,Finish Date,Application,Discussion(s),Notes,Archived,,,,,,,,,,,,,,,,,,,
,,Crownlands,Antlers,In Progress,,M,No priority,FALSE,FALSE,Canon,Castle,starcat98,Buckwell,1/6/2019,,Project_Application__Antlers.pdf,https://forum.westeroscraft.com/threads/project-application-antlers.1484/,,FALSE,,,,,,,,,,,,,,,,,,,
,,Crownlands,Blount,Completed,,S,No priority,TRUE,TRUE,Canon,Keep,MDMeaux,Blount,8/23/2016,4/11/2017,,,,FALSE,,,TOTAL PROJECT STATUS,,,,Count of Status By Region,Status,,,,,,,All Project Leaders,,Builder Résumé's,,
,,Crownlands,Boggs,In Progress,,M,No priority,FALSE,FALSE,Canon,Keep,"_Simbaa, Steineke96",Boggs,9/7/2015,,,https://forum.westeroscraft.com/threads/project-application-house-boggs-by-_simbaa.2617/,,FALSE,,,STATUS,COUNT,%,,Region,Abandoned,Blocked,Completed,In Progress,Not Started,Pending,,_Benja,,Region,Project Name,Project Leader
,,Crownlands,Briarwhite,Abandoned,Redo,M,No priority,FALSE,FALSE,Canon,Holdfast,,,,,,,"the area its in has many other POIs from Yoren's band's path north and Briarwhite is where they get forced to pay for corn they steal (must be sweetcorn, cos there's no point stealing whole wheat if they're trying to move quick)",FALSE,,,Completed,319,49%,,Beyond The Wall,1,,2,1,5,,,_Ready,,Crownlands,Antlers,starcat98
,,Crownlands,Brindlewood,Completed,Update,XS,No priority,TRUE,TRUE,Canon,Village,Ertylink,Cargyll,7/15/2016,6/30/2017,,,,FALSE,,,In Progress,102,16%,,Crownlands,8,1,38,34,29,1,,_Simbaa,,Crownlands,Antlers,
,,Crownlands,Brownhollow,In Progress,,S,No priority,FALSE,FALSE,Canon,Keep,Auscar,Brune,5/12/2024,,House Brune Brownhollow.docx,https://forum.westeroscraft.com/threads/project-application-house-brune-of-brownhollow-by-auscar.4047/#post-31646,,FALSE,,,Not Started,114,18%,,Dorne,3,,22,5,2,,,_zanji,,Crownlands,Antlers,
,,Crownlands,Bullock,Abandoned,Foster,XS,High,FALSE,FALSE,Canon,Castle,Pept1c,Bullock,4/10/2021,,House Bullock by Pept1c,https://forum.westeroscraft.com/threads/house-bullock-by-pept1c.2847/,,FALSE,,,Abandoned,52,8%,,Iron Islands,,34,33,,,,,7GJ7,,Crownlands,Blount,MDMeaux
,,Crownlands,Byrch,Completed,Update,S,No priority,TRUE,TRUE,Canon,Keep,SseriousBusiness,Byrch,5/15/2017,11/11/2017,https://forum.westeroscraft.com/threads/house-byrch-project-application.340/#post-1972,https://forum.westeroscraft.com/threads/house-byrch-project-application.340/#post-1972,,FALSE,,,Pending,9,1%,,North,5,1,38,7,7,,,7JG7,,Crownlands,Blount,
,,Crownlands,Bywater,Completed,Update,XS,No priority,TRUE,TRUE,Canon,Keep,BantyRooster,Bywater,2/25/2015,,,,,FALSE,,,Blocked,53,8%,,Reach,11,,43,23,38,1,,AdricTW,,Crownlands,Blount,
,,Crownlands,Cargyll,Completed,Update,XS,No priority,TRUE,TRUE,Canon,Ruin,Ertylink,Cargyll,7/15/2016,6/30/2017,,,only recorded mention: https://forum.westeroscraft.com/threads/the-rookery-july-2017-edition.22/#post-33,FALSE,,,TOTAL,649,100%,,Riverlands,10,,33,12,16,2,,AeksioOndos,,Crownlands,Boggs,_Simbaa
,,Crownlands,Cave,In Progress,,M,No priority,FALSE,FALSE,Canon,Castle,IMajic,Cave,4/4/2021,,House Caves.pdf,https://forum.westeroscraft.com/threads/house-cave-by-majic.2668/,,FALSE,,,,,,,Stormlands,6,,30,6,4,,,agrhendaer,,Crownlands,Boggs, Steineke96
,,Crownlands,Chelsted,Completed,Update,M,No priority,TRUE,TRUE,Canon,Castle,The_ZoSo_666,,7/26/2017,12/1/2017,https://forum.westeroscraft.com/threads/project-application-house-chelsted-by-zoso.77/,https://forum.westeroscraft.com/threads/project-application-house-chelsted-by-zoso.77/,,FALSE,,,,,,,The Wall,,,21,3,,1,,Aino,,Crownlands,Boggs,
,,Crownlands,Chyttering,Completed,Update,S,No priority,TRUE,TRUE,Canon,Castle,_Simbaa,Chyttering,9/15/2016,,,,,FALSE,,,,,,,Vale,3,11,24,6,10,4,,alex,,Crownlands,Brindlewood,Ertylink
,,Crownlands,Claw Isle,Completed,Update,L,No priority,TRUE,TRUE,Canon,Castle,"Steineke96, FlavD",Celtigar,9/24/2014,,,,,FALSE,,,,,,,Westerlands,4,6,35,5,3,,,AlexisTragic,,Crownlands,Brindlewood,
,,Crownlands,Crabb,Not Started,,S,No priority,FALSE,FALSE,Canon,Miscellaneous,,,,,,,,FALSE,,,,,,,,,,,,,,,AlexIsTragic,,Crownlands,Brindlewood,
,,Crownlands,Cressey,Completed,Update,XS,No priority,TRUE,TRUE,Canon,Keep,"Georni, otty",,10/30/2016,2/24/2018,https://forum.westeroscraft.com/threads/foster-project-cressey-sign-up-now.309/#post-1672,https://forum.westeroscraft.com/threads/foster-project-cressey-sign-up-now.309/#post-1672,,FALSE,,,,,,,,,,,,,,,Ammika,,Crownlands,Brownhollow,Auscar
,,Crownlands,Dragonstone,Blocked,Redo,XL,No priority,FALSE,FALSE,Server,Castle,,,,,,,,FALSE,,,,,,,,,,,,,,,an_escaped_duck,,Crownlands,Brownhollow,
,,Crownlands,Dragonstone Island,Pending,Redo,M,High,FALSE,FALSE,Terraform,Miscellaneous,geeberry,,,,,,,FALSE,,,,,,,,,,,,,,,Andy_Jones,,Crownlands,Brownhollow,
,,Crownlands,Driftmark,In Progress,,XL,No priority,FALSE,FALSE,Canon,Miscellaneous,WhereRmyDragons,Velaryon,7/29/2019,,,https://forum.westeroscraft.com/threads/appeal-approved-driftmark-by-dragons.1846/,,FALSE,,,,,,,,,,,,,,,Antalex,,Crownlands,Bullock,Pept1c
,,Crownlands,High Tide,In Progress,,S,No priority,FALSE,FALSE,Canon,Ruin,,Velaryon,7/29/2019,,,,,FALSE,,,,,,,,,,,,,,,Antony_justman,,Crownlands,Bullock,
